sentença,julgamento,julgamento_2,dano_moral_individual,faixa_dano_moral_individual,data_julgamento,juiz,tipo_juiz,direito_de_arrependimento,descumprimento_de_oferta,extravio_definitivo,extravio_temporário,intervalo_extravio_temporário,faixa_intervalo_extravio_temporário,violação_furto_avaria,cancelamento/alteração_destino,atraso,intervalo_atraso,faixa_intervalo_atraso,culpa_exclusiva_consumidor,condições_climáticas/fechamento_aeroporto,noshow,overbooking,assistência_cia_aérea,hipervulnerável
1,parcial_procedente,-,"R$ 10,000.00",5,10/04/2019,Vânia Petermann,Titular,N,N,N,S,2,2,S,N,S,04:50:00,2,N,N,N,N,N,N
2,improcedente,-,R$ 0.00,0,07/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,-,N
3,parcial_procedente,-,"R$ 10,000.00",5,22/02/2019,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,N,24:00:00,6,N,N,N,N,S,N
4,parcial_procedente,-,"R$ 10,000.00",5,18/02/2019,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,N,22:00:00,5,N,N,N,N,S,S
5,parcial_procedente,-,"R$ 20,000.00",6,22/02/2019,Lucilene dos Santos,Substituto,N,N,N,N,20,4,N,N,N,-,0,N,N,N,N,-,S
6,parcial_procedente,-,"R$ 10,000.00",5,27/02/2019,Lucilene dos Santos,Substituto,N,N,N,N,14,4,N,N,N,-,0,N,N,N,N,-,N
7,improcedente,-,R$ 0.00,0,11/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,S,N,N,N,-,N
8,parcial_procedente,-,"R$ 5,000.00",3,27/02/2019,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,N,N
9,parcial_procedente,-,"R$ 10,000.00",5,18/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,20:00:00,5,N,N,N,N,N,N
10,improcedente,-,R$ 0.00,0,27/02/2019,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,S,02:00:00,1,S,N,N,N,S,N
11,parcial_procedente,-,"R$ 2,000.00",1,20/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,S,S
12,parcial_procedente,-,"R$ 6,000.00",3,18/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,14:00:00,4,N,N,N,N,S,N
13,parcial_procedente,-,"R$ 9,000.00",5,11/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,20:00:00,5,N,N,N,N,N,N
14,parcial_procedente,-,"R$ 10,000.00",5,08/03/2019,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,-,N
15,parcial_procedente,-,"R$ 8,000.00",4,11/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,16:00:00,5,N,N,N,N,S,N
16,parcial_procedente,-,"R$ 13,000.00",6,27/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,21:00:00,5,N,N,N,N,N,S
17,parcial_procedente,-,"R$ 3,000.00",2,18/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,06:00:00,2,N,N,N,N,N,N
18,improcedente,-,R$ 0.00,0,18/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,12:00:00,4,N,S,N,N,S,N
19,total_procedente,-,"R$ 10,000.00",5,22/03/2019,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,N,24:00:00,6,N,N,N,N,S,N
20,total_procedente,-,"R$ 9,700.00",5,26/03/2019,Lucilene dos Santos,Substituto,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,N,N
21,parcial_procedente,-,"R$ 15,000.00",6,28/03/2019,Lucilene dos Santos,Substituto,N,N,N,S,4,3,N,N,S,08:00:00,3,N,N,N,S,S,S
22,parcial_procedente,-,"R$ 4,000.00",2,29/03/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,07:00:00,2,N,N,N,N,N,N
23,parcial_procedente,-,"R$ 10,000.00",5,05/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,N,N
24,parcial_procedente,-,"R$ 13,000.00",6,04/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,N,N
25,parcial_procedente,-,"R$ 10,000.00",5,05/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,N,N
26,parcial_procedente,-,"R$ 10,000.00",5,04/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,S,N
27,parcial_procedente,-,"R$ 12,000.00",6,05/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,25:00:00,6,N,N,N,N,S,N
28,parcial_procedente,-,"R$ 4,000.00",2,05/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,S,N
29,total_procedente,-,"R$ 7,000.00",4,09/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,13:00:00,4,N,N,N,N,S,N
30,parcial_procedente,-,"R$ 5,000.00",3,11/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,N,N
31,parcial_procedente,-,"R$ 12,000.00",6,09/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,19:00:00,5,N,N,N,N,S,N
32,parcial_procedente,-,"R$ 2,000.00",1,09/04/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,04:25:00,2,N,N,N,N,N,N
